Barycentric data loading time: 592.413316ms
Removing database directory samurai.db
Database directory samurai.db removed
Feeding update tasks to 16 workers
Block: 18908895 phase:modifiedaccounts accounts: 385 time: 3.241304274s
Fetching balances for 385 accounts
Fetched balances for 385 accounts
Block: 18908895 phase:balances accounts: 385 time: 24.23991ms
Block 18908895 account 0x000000000022D473030F116dDEE9F6B43aC78BA3 time: 39.260327ms
Block 18908895 account 0x04891E392948724ef664509804C9619242eFDD9D time: 39.496773ms
Block 18908895 account 0x0016C0d0343e8f2c3A7b6A51606B84B1545Ec606 time: 40.116683ms
Block 18908895 account 0x0000000000000000000000000000000000000004 time: 39.465608ms
Block 18908895 account 0x0000000000000000000000000000000000000006 time: 39.651199ms
Block 18908895 account 0x00697B786630768f1b2c7De25D5EbA8Ea7E1Fd0D time: 39.868445ms
Block 18908895 account 0x0000000000000000000000000000000000000008 time: 39.639044ms
Block 18908895 account 0x0000000000000000000000000000000000000007 time: 39.694417ms
Block 18908895 account 0x00000caD74214B2771b692b1065F9d0aD7b00000 time: 39.926899ms
Block 18908895 account 0x0000000000000000000000000000000000000005 time: 39.751808ms
Block 18908895 account 0x0000000000000000000000000000000000000001 time: 39.817619ms
Block 18908895 account 0x000037bB05B2CeF17c6469f4BcDb198826Ce0000 time: 40.468926ms
Block 18908895 account 0x0000C5d73291e9ae226E7fE59ea1e6b68bE30000 time: 40.655115ms
Block 18908895 account 0x0000000000A39bb272e79075ade125fd351887Ac time: 41.237818ms
Block 18908895 account 0x06Dc09E8d5e8804B2Cc35950416dA1Ec34823606 time: 41.421124ms
Block 18908895 account 0x03Eba36377ED60a764fDB315157b8EFb804595Db time: 41.607592ms
Block 18908895 account 0x0aa45FF4f1559298BFBd99b54Bc2376838D48E5E time: 34.432552ms
Block 18908895 account 0x070afDC3872634Da24fb786D75FAC323578c4B6b time: 35.003014ms
Block 18908895 account 0x08dC8ffC2Db71EA07537D1328B3be0799b604396 time: 34.912694ms
Block 18908895 account 0x08e06197a479C77e5d96e43921a499d949b87d15 time: 34.95536ms
Block 18908895 account 0x086B191144a7B1CC01C1427d6267Cd7e47E7F95D time: 35.225615ms
Block 18908895 account 0x0D0707963952f2fBA59dD06f2b425ace40b492Fe time: 34.269309ms
Block 18908895 account 0x0c944Fe3e5E2807AfD499008f776ea669e6A7daf time: 34.550197ms
Block 18908895 account 0x0bA8dF6252302052e8Fe1b82C312641745647c5d time: 34.935469ms
Block 18908895 account 0x0d7E906BD9cAFa154b048cFa766Cc1E54E39AF9B time: 34.429545ms
Block 18908895 account 0x09352ec96d7852E27B5a8734B41504B3da542d8c time: 35.500539ms
Block 18908895 account 0x08a76Fb0B5511b0a10DC4141C4DAD6E2471803ba time: 35.717437ms
Block 18908895 account 0x0c97305bd07FC582Bcc2042B9a2Dedd9f451E75B time: 34.709079ms
Block 18908895 account 0x09DAb27cC3758040eea0f7b51df2Aee14bc003D6 time: 35.590522ms
Block 18908895 account 0x0DF27945010c33D06f1bc08800733A5201106Cd8 time: 33.789917ms
Block 18908895 account 0x0aA8A7D1fB4c64B3b1DcEa9A7ADe81C59C25b95b time: 35.459379ms
Block 18908895 account 0x0a1F3A2c20a7e8E4470fFA52c01646E1ff4c759A time: 35.465387ms
Block 18908895 account 0x0fEdC0DAf58d111ea7cf145D8b24b0dec6F45cc7 time: 44.171544ms
Block 18908895 account 0x16c184c65E5d08b8fa583f167C7F8DFCc5bC85ba time: 43.319135ms
Block 18908895 account 0x10Ba73FbA107E61be1780d262173fc643a678f1C time: 44.362475ms
Block 18908895 account 0x0e1734965617ECC387572f43F9541394308aC0A7 time: 45.052415ms
Block 18908895 account 0x13e15FBf296248116729A47093C316d3209E95a1 time: 44.317219ms
Block 18908895 account 0x0f9F949a30b97C42aCe87Aae6F24EE2607003e37 time: 45.013525ms
Block 18908895 account 0x0F5D2fB29fb7d3CFeE444a200298f468908cC942 time: 45.600068ms
Block 18908895 account 0x14a2282BCE6338142F447B8d3F8122Fb22300179 time: 45.060023ms
Block 18908895 account 0x19781A65D1C01DF413C06037Cf95700D6dE5eD70 time: 45.226322ms
Block 18908895 account 0x11b815efB8f581194ae79006d24E0d814B7697F6 time: 48.113689ms
Block 18908895 account 0x16952F8B0e7250061adD6Bc8f39EFB24C3BCe155 time: 48.193755ms
