Barycentric data loading time: 582.995152ms
2025/10/03 22:37:36 [JOB 1] WAL file samurai.db/280372.log with log number 280372 stopped reading at offset: 1359293; replayed 42 keys in 42 batches
Feeding update tasks to 16 workers
Block: 18910944 phase:modifiedaccounts accounts: 370 time: 9.886441098s
Block: 18910944 phase:balances accounts: 370 time: 137.420721ms
Block: 18910945 phase:modifiedaccounts accounts: 289 time: 5.059317614s
Block: 18910945 phase:balances accounts: 289 time: 158.409274ms
Block: 18910946 phase:modifiedaccounts accounts: 322 time: 4.250005084s
Block: 18910946 phase:balances accounts: 322 time: 141.06464ms
Block: 18910947 phase:modifiedaccounts accounts: 256 time: 5.678944501s
Block: 18910947 phase:balances accounts: 256 time: 79.417035ms
Block: 18910948 phase:modifiedaccounts accounts: 264 time: 4.008500682s
Block: 18910948 phase:balances accounts: 264 time: 106.600031ms
Block: 18910949 phase:modifiedaccounts accounts: 352 time: 5.450228387s
Block: 18910949 phase:balances accounts: 352 time: 115.898523ms
Block: 18910950 phase:modifiedaccounts accounts: 261 time: 3.642368764s
Block: 18910950 phase:balances accounts: 261 time: 125.617781ms
Block: 18910951 phase:modifiedaccounts accounts: 218 time: 5.599345853s
Block: 18910951 phase:balances accounts: 218 time: 105.182139ms
Block: 18910952 phase:modifiedaccounts accounts: 371 time: 4.646517264s
Block: 18910952 phase:balances accounts: 371 time: 317.845782ms
Block: 18910953 phase:modifiedaccounts accounts: 282 time: 5.780398937s
Block: 18910953 phase:balances accounts: 282 time: 186.472562ms
Block: 18910954 phase:modifiedaccounts accounts: 425 time: 5.148128211s
Block: 18910954 phase:balances accounts: 425 time: 317.318992ms
Block: 18910955 phase:modifiedaccounts accounts: 320 time: 5.28238033s
Block: 18910955 phase:balances accounts: 320 time: 159.914004ms
Block: 18910956 phase:modifiedaccounts accounts: 297 time: 5.554665526s
Block: 18910956 phase:balances accounts: 297 time: 151.167571ms
Block: 18910957 phase:modifiedaccounts accounts: 351 time: 4.954110345s
Block: 18910957 phase:balances accounts: 351 time: 180.555868ms
Block: 18910958 phase:modifiedaccounts accounts: 365 time: 4.159336337s
Block: 18910958 phase:balances accounts: 365 time: 237.272606ms
Block: 18910959 phase:modifiedaccounts accounts: 402 time: 5.473937316s
Block: 18910959 phase:balances accounts: 402 time: 197.392896ms
Block: 18910960 phase:modifiedaccounts accounts: 169 time: 3.36174018s
Block: 18910960 phase:balances accounts: 169 time: 96.84043ms
Block: 18910961 phase:modifiedaccounts accounts: 264 time: 5.719789951s
Block: 18910961 phase:balances accounts: 264 time: 151.646205ms
Block: 18910962 phase:modifiedaccounts accounts: 890 time: 6.206339744s
