Barycentric data loading time: 486.949326ms
Removing database directory samurai.db
Database directory samurai.db removed
Feeding update tasks to 16 workers
Block: 18908895 phase:modifiedaccounts accounts: 385 time: 3.139095093s
Block: 18908895 phase:balances accounts: 385 time: 21.488035ms
Block: 18908896 phase:modifiedaccounts accounts: 466 time: 3.690018427s
Block: 18908896 phase:balances accounts: 466 time: 24.469038ms
Block: 18908897 phase:modifiedaccounts accounts: 258 time: 4.084007158s
Block: 18908897 phase:balances accounts: 258 time: 15.141828ms
Block: 18908898 phase:modifiedaccounts accounts: 291 time: 3.793902977s
Block: 18908898 phase:balances accounts: 291 time: 17.450069ms
Block: 18908899 phase:modifiedaccounts accounts: 283 time: 3.97132424s
Block: 18908899 phase:balances accounts: 283 time: 19.203593ms
Block: 18908900 phase:modifiedaccounts accounts: 460 time: 3.916091333s
Block: 18908900 phase:balances accounts: 460 time: 24.254782ms
Block: 18908901 phase:modifiedaccounts accounts: 266 time: 3.999128404s
Block: 18908901 phase:balances accounts: 266 time: 16.891763ms
Block: 18908902 phase:modifiedaccounts accounts: 310 time: 3.59771879s
Block: 18908902 phase:balances accounts: 310 time: 15.266471ms
Block: 18908903 phase:modifiedaccounts accounts: 327 time: 4.238782491s
Block: 18908903 phase:balances accounts: 327 time: 21.023494ms
Block: 18908904 phase:modifiedaccounts accounts: 250 time: 4.078389968s
Block: 18908904 phase:balances accounts: 250 time: 14.519806ms
Block: 18908905 phase:modifiedaccounts accounts: 448 time: 4.210588839s
Block: 18908905 phase:balances accounts: 448 time: 22.276111ms
Block: 18908906 phase:modifiedaccounts accounts: 241 time: 4.133816745s
Block: 18908906 phase:balances accounts: 241 time: 12.213523ms
Block: 18908907 phase:modifiedaccounts accounts: 317 time: 3.726735161s
Block: 18908907 phase:balances accounts: 317 time: 17.880257ms
Block: 18908908 phase:modifiedaccounts accounts: 320 time: 4.149909649s
Block: 18908908 phase:balances accounts: 320 time: 16.11615ms
Block: 18908909 phase:modifiedaccounts accounts: 289 time: 4.035552076s
Block: 18908909 phase:balances accounts: 289 time: 16.110485ms
Block: 18908910 phase:modifiedaccounts accounts: 469 time: 3.806314229s
Block: 18908910 phase:balances accounts: 469 time: 24.915696ms
Block: 18908911 phase:modifiedaccounts accounts: 275 time: 4.334479354s
Block: 18908911 phase:balances accounts: 275 time: 15.493328ms
Block: 18908912 phase:modifiedaccounts accounts: 285 time: 3.814374729s
Block: 18908912 phase:balances accounts: 285 time: 17.215293ms
Block: 18908913 phase:modifiedaccounts accounts: 266 time: 3.724997509s
Block: 18908913 phase:balances accounts: 266 time: 13.270504ms
Block: 18908914 phase:modifiedaccounts accounts: 295 time: 3.926349868s
Block: 18908914 phase:balances accounts: 295 time: 16.426479ms
Block: 18908915 phase:modifiedaccounts accounts: 544 time: 4.043732184s
Block: 18908915 phase:balances accounts: 544 time: 28.434954ms
Block: 18908916 phase:modifiedaccounts accounts: 270 time: 4.183182219s
Block: 18908916 phase:balances accounts: 270 time: 15.333102ms
Block: 18908917 phase:modifiedaccounts accounts: 313 time: 3.843490735s
Block: 18908917 phase:balances accounts: 313 time: 16.279758ms
Block: 18908918 phase:modifiedaccounts accounts: 235 time: 4.011399731s
Block: 18908918 phase:balances accounts: 235 time: 14.291503ms
Block: 18908919 phase:modifiedaccounts accounts: 773 time: 4.193802403s
Block: 18908919 phase:balances accounts: 773 time: 40.656521ms
Block: 18908920 phase:modifiedaccounts accounts: 270 time: 4.683029505s
Block: 18908920 phase:balances accounts: 270 time: 16.771754ms
Block: 18908921 phase:modifiedaccounts accounts: 241 time: 4.273475297s
Block: 18908921 phase:balances accounts: 241 time: 13.416243ms
Block: 18908922 phase:modifiedaccounts accounts: 235 time: 3.327383171s
Block: 18908922 phase:balances accounts: 235 time: 14.851969ms
Block: 18908923 phase:modifiedaccounts accounts: 233 time: 3.92865962s
Block: 18908923 phase:balances accounts: 233 time: 14.12511ms
Block: 18908924 phase:modifiedaccounts accounts: 404 time: 4.232731722s
Block: 18908924 phase:balances accounts: 404 time: 50.529201ms
Block: 18908925 phase:modifiedaccounts accounts: 379 time: 3.504927411s
Block: 18908925 phase:balances accounts: 379 time: 27.201867ms
Block: 18908926 phase:modifiedaccounts accounts: 268 time: 3.575985413s
Block: 18908926 phase:balances accounts: 268 time: 14.569813ms
Block: 18908927 phase:modifiedaccounts accounts: 260 time: 4.038273747s
Block: 18908927 phase:balances accounts: 260 time: 12.678283ms
Block: 18908928 phase:modifiedaccounts accounts: 272 time: 3.696387662s
Block: 18908928 phase:balances accounts: 272 time: 29.099654ms
Block: 18908929 phase:modifiedaccounts accounts: 668 time: 4.180676817s
Block: 18908929 phase:balances accounts: 668 time: 35.434015ms
Block: 18908930 phase:modifiedaccounts accounts: 254 time: 4.929520325s
Block: 18908930 phase:balances accounts: 254 time: 38.453187ms
Block: 18908931 phase:modifiedaccounts accounts: 236 time: 4.093976162s
Block: 18908931 phase:balances accounts: 236 time: 29.818209ms
Block: 18908932 phase:modifiedaccounts accounts: 246 time: 4.111790421s
Block: 18908932 phase:balances accounts: 246 time: 16.359998ms
Block: 18908933 phase:modifiedaccounts accounts: 362 time: 4.636055913s
Block: 18908933 phase:balances accounts: 362 time: 17.699332ms
Block: 18908934 phase:modifiedaccounts accounts: 417 time: 4.401384216s
Block: 18908934 phase:balances accounts: 417 time: 22.658242ms
Block: 18908935 phase:modifiedaccounts accounts: 288 time: 4.384091462s
Block: 18908935 phase:balances accounts: 288 time: 15.326537ms
Block: 18908936 phase:modifiedaccounts accounts: 307 time: 4.173567168s
Block: 18908936 phase:balances accounts: 307 time: 15.489436ms
Block: 18908937 phase:modifiedaccounts accounts: 258 time: 4.668089155s
Block: 18908937 phase:balances accounts: 258 time: 12.263551ms
Block: 18908938 phase:modifiedaccounts accounts: 343 time: 3.704928394s
Block: 18908938 phase:balances accounts: 343 time: 17.647521ms
Block: 18908939 phase:modifiedaccounts accounts: 275 time: 4.125011009s
Block: 18908939 phase:balances accounts: 275 time: 14.051721ms
Block: 18908940 phase:modifiedaccounts accounts: 290 time: 3.878991924s
Block: 18908940 phase:balances accounts: 290 time: 12.043143ms
Block: 18908941 phase:modifiedaccounts accounts: 311 time: 4.249286307s
Block: 18908941 phase:balances accounts: 311 time: 21.23715ms
Block: 18908942 phase:modifiedaccounts accounts: 260 time: 4.043088224s
Block: 18908942 phase:balances accounts: 260 time: 14.978202ms
Block: 18908943 phase:modifiedaccounts accounts: 433 time: 4.1126045s
Block: 18908943 phase:balances accounts: 433 time: 18.379806ms
Block: 18908944 phase:modifiedaccounts accounts: 276 time: 3.911182328s
Block: 18908944 phase:balances accounts: 276 time: 17.704813ms
Block: 18908945 phase:modifiedaccounts accounts: 332 time: 3.511130804s
Block: 18908945 phase:balances accounts: 332 time: 32.038811ms
Block: 18908946 phase:modifiedaccounts accounts: 287 time: 4.140736416s
Block: 18908946 phase:balances accounts: 287 time: 15.199082ms
Block: 18908947 phase:modifiedaccounts accounts: 264 time: 4.21333548s
Block: 18908947 phase:balances accounts: 264 time: 17.049654ms
Block: 18908948 phase:modifiedaccounts accounts: 324 time: 4.10322347s
Block: 18908948 phase:balances accounts: 324 time: 47.158025ms
Block: 18908949 phase:modifiedaccounts accounts: 290 time: 3.565027542s
Block: 18908949 phase:balances accounts: 290 time: 26.535827ms
Block: 18908950 phase:modifiedaccounts accounts: 345 time: 4.233172267s
Block: 18908950 phase:balances accounts: 345 time: 37.162101ms
Block: 18908951 phase:modifiedaccounts accounts: 275 time: 4.467363455s
Block: 18908951 phase:balances accounts: 275 time: 14.885959ms
Block: 18908952 phase:modifiedaccounts accounts: 327 time: 3.801613952s
Block: 18908952 phase:balances accounts: 327 time: 19.688722ms
Block: 18908953 phase:modifiedaccounts accounts: 445 time: 4.56295373s
Block: 18908953 phase:balances accounts: 445 time: 26.333221ms
Block: 18908954 phase:modifiedaccounts accounts: 279 time: 3.838191689s
Block: 18908954 phase:balances accounts: 279 time: 17.833742ms
Block: 18908955 phase:modifiedaccounts accounts: 317 time: 3.825219237s
Block: 18908955 phase:balances accounts: 317 time: 16.914072ms
Block: 18908956 phase:modifiedaccounts accounts: 222 time: 3.518457541s
Block: 18908956 phase:balances accounts: 222 time: 12.342819ms
Block: 18908957 phase:modifiedaccounts accounts: 281 time: 4.055908703s
Block: 18908957 phase:balances accounts: 281 time: 14.337439ms
Block: 18908958 phase:modifiedaccounts accounts: 445 time: 4.01751923s
Block: 18908958 phase:balances accounts: 445 time: 23.200576ms
Block: 18908959 phase:modifiedaccounts accounts: 342 time: 4.580250272s
Block: 18908959 phase:balances accounts: 342 time: 53.420552ms
Block: 18908960 phase:modifiedaccounts accounts: 253 time: 3.576617769s
Block: 18908960 phase:balances accounts: 253 time: 13.804936ms
Block: 18908961 phase:modifiedaccounts accounts: 275 time: 3.308675209s
Block: 18908961 phase:balances accounts: 275 time: 15.312231ms
Block: 18908962 phase:modifiedaccounts accounts: 224 time: 3.883228886s
Block: 18908962 phase:balances accounts: 224 time: 16.815293ms
Block: 18908963 phase:modifiedaccounts accounts: 507 time: 4.804585995s
Block: 18908963 phase:balances accounts: 507 time: 25.711189ms
Block: 18908964 phase:modifiedaccounts accounts: 303 time: 4.088157362s
Block: 18908964 phase:balances accounts: 303 time: 21.735751ms
Block: 18908965 phase:modifiedaccounts accounts: 250 time: 3.984737605s
Block: 18908965 phase:balances accounts: 250 time: 14.979502ms
Block: 18908966 phase:modifiedaccounts accounts: 273 time: 4.032100399s
Block: 18908966 phase:balances accounts: 273 time: 16.310628ms
Block: 18908967 phase:modifiedaccounts accounts: 328 time: 4.798804427s
Block: 18908967 phase:balances accounts: 328 time: 19.011955ms
Block: 18908968 phase:modifiedaccounts accounts: 519 time: 3.386968109s
Block: 18908968 phase:balances accounts: 519 time: 26.261338ms
Block: 18908969 phase:modifiedaccounts accounts: 340 time: 4.137240303s
Block: 18908969 phase:balances accounts: 340 time: 20.983414ms
Block: 18908970 phase:modifiedaccounts accounts: 265 time: 4.065933309s
Block: 18908970 phase:balances accounts: 265 time: 15.946697ms
Block: 18908971 phase:modifiedaccounts accounts: 232 time: 4.34084535s
Block: 18908971 phase:balances accounts: 232 time: 18.193639ms
Block: 18908972 phase:modifiedaccounts accounts: 209 time: 3.451182792s
Block: 18908972 phase:balances accounts: 209 time: 14.555128ms
Block: 18908973 phase:modifiedaccounts accounts: 612 time: 5.943088346s
Block: 18908973 phase:balances accounts: 612 time: 35.710068ms
Block: 18908974 phase:modifiedaccounts accounts: 49 time: 4.581331744s
Block: 18908974 phase:balances accounts: 49 time: 4.066011ms
Block: 18908975 phase:modifiedaccounts accounts: 474 time: 4.372506573s
Block: 18908975 phase:balances accounts: 474 time: 23.418955ms
Block: 18908976 phase:modifiedaccounts accounts: 219 time: 3.868837403s
Block: 18908976 phase:balances accounts: 219 time: 14.123336ms
Block: 18908977 phase:modifiedaccounts accounts: 393 time: 4.919875824s
Block: 18908977 phase:balances accounts: 393 time: 19.380775ms
Block: 18908978 phase:modifiedaccounts accounts: 261 time: 3.887750629s
Block: 18908978 phase:balances accounts: 261 time: 21.421458ms
Block: 18908979 phase:modifiedaccounts accounts: 241 time: 3.531132302s
Block: 18908979 phase:balances accounts: 241 time: 13.792695ms
Block: 18908980 phase:modifiedaccounts accounts: 171 time: 4.863500709s
Block: 18908980 phase:balances accounts: 171 time: 10.450855ms
Block: 18908981 phase:modifiedaccounts accounts: 220 time: 4.007284564s
Block: 18908981 phase:balances accounts: 220 time: 20.401405ms
Block: 18908982 phase:modifiedaccounts accounts: 506 time: 4.724890676s
Block: 18908982 phase:balances accounts: 506 time: 24.299519ms
Block: 18908983 phase:modifiedaccounts accounts: 262 time: 4.398123095s
Block: 18908983 phase:balances accounts: 262 time: 29.282707ms
Block: 18908984 phase:modifiedaccounts accounts: 283 time: 4.58650142s
Block: 18908984 phase:balances accounts: 283 time: 12.433863ms
Block: 18908985 phase:modifiedaccounts accounts: 185 time: 5.508100689s
Block: 18908985 phase:balances accounts: 185 time: 22.889643ms
Block: 18908986 phase:modifiedaccounts accounts: 358 time: 3.643379028s
Block: 18908986 phase:balances accounts: 358 time: 21.392893ms
Block: 18908987 phase:modifiedaccounts accounts: 285 time: 4.143385343s
Block: 18908987 phase:balances accounts: 285 time: 16.067521ms
Block: 18908988 phase:modifiedaccounts accounts: 241 time: 4.578621405s
Block: 18908988 phase:balances accounts: 241 time: 16.12154ms
Block: 18908989 phase:modifiedaccounts accounts: 346 time: 3.624397542s
Block: 18908989 phase:balances accounts: 346 time: 14.861231ms
Block: 18908990 phase:modifiedaccounts accounts: 191 time: 4.870618425s
Block: 18908990 phase:balances accounts: 191 time: 19.377861ms
Block: 18908991 phase:modifiedaccounts accounts: 259 time: 4.864116856s
Block: 18908991 phase:balances accounts: 259 time: 14.286396ms
Block: 18908992 phase:modifiedaccounts accounts: 346 time: 4.49116635s
Block: 18908992 phase:balances accounts: 346 time: 15.416831ms
Block: 18908993 phase:modifiedaccounts accounts: 376 time: 4.317579661s
Block: 18908993 phase:balances accounts: 376 time: 20.277338ms
Block: 18908994 phase:modifiedaccounts accounts: 327 time: 4.263927137s
Block: 18908994 phase:balances accounts: 327 time: 43.482577ms
Block: 18908995 phase:modifiedaccounts accounts: 137 time: 4.980554303s
Block: 18908995 phase:balances accounts: 137 time: 6.121875ms
Block: 18908996 phase:modifiedaccounts accounts: 328 time: 3.026255072s
Block: 18908996 phase:balances accounts: 328 time: 15.865643ms
Block: 18908997 phase:modifiedaccounts accounts: 622 time: 4.62841437s
Block: 18908997 phase:balances accounts: 622 time: 34.846792ms
Block: 18908998 phase:modifiedaccounts accounts: 287 time: 4.941112527s
Block: 18908998 phase:balances accounts: 287 time: 12.398354ms
Block: 18908999 phase:modifiedaccounts accounts: 247 time: 3.78540611s
Block: 18908999 phase:balances accounts: 247 time: 16.485864ms
Block: 18909000 phase:modifiedaccounts accounts: 211 time: 3.320421698s
Block: 18909000 phase:balances accounts: 211 time: 16.785935ms
Block: 18909001 phase:modifiedaccounts accounts: 409 time: 3.981805012s
